City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
132,Biak,ID,85.12,scattered clouds,-0.9131,122.8766,Penginapan Kim
135,Abilene,US,74.5,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
136,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
138,Tabou,CI,76.5,light rain,4.423,-7.3528,hotêl doufoulougou
142,Na Wa,TH,84.36,overcast clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
143,San Patricio,US,78.82,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
144,Poum,NC,76.39,light rain,-20.2333,164.0167,Gîte kajeon
146,Rio De Jesus,PA,73.2,overcast clouds,7.9844,-81.1631,Parador fotografico Rio de Jesus
150,Brownsville,US,79.92,few clouds,25.9018,-97.4975,University Inn & Suites
154,Naze,JP,74.32,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
158,Cabo San Lucas,MX,79.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
167,Phalodi,IN,84.87,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
168,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
171,Cabo Rojo,PR,79.92,few clouds,18.0866,-67.1457,Hotel Perichi's
177,Barabai,ID,85.28,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
185,Kon Tum,VN,87.13,few clouds,14.35,108.0,Hoa đà spa- homestay
186,Harper,LR,76.84,light rain,4.375,-7.7169,Screensaver
188,Bo Phloi,TH,85.37,broken clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
189,Sainte-Rose,GP,77.04,clear sky,16.3324,-61.6979,Villa - Duzer
190,Bengkulu,ID,84.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
192,Lucea,JM,82.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
196,Lungi,SL,74.07,broken clouds,9.2212,-12.6831,Lungi Airport Lodge
197,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
199,Leeton,AU,77.9,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
203,Abakaliki,NG,72.28,overcast clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
204,Boa Vista,BR,76.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
207,Grand-Bourg,GP,76.95,few clouds,15.8835,-61.3148,Coco Beach Resort
214,Parrita,CR,80.06,overcast clouds,9.5201,-84.3225,Beso del Viento
217,Parkes,AU,74.35,clear sky,-33.1333,148.1833,Station Motel
221,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
224,Padang,ID,82.45,heavy intensity rain,-0.9492,100.3543,Mercure Padang
229,Lorengau,PG,84.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
235,Pemba,MZ,75.9,moderate rain,-12.974,40.5178,Guesthouse Samotina
238,Beranang,MY,85.17,overcast clouds,2.8733,101.8697,Home Sweet Home
239,Madang,PG,86.38,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
240,Waingapu,ID,91.53,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
242,Sibolga,ID,79.25,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
248,Labuan,MY,86.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
250,Pringsewu,ID,87.55,overcast clouds,-5.3582,104.9744,Urban Style by Front One
252,Carutapera,BR,75.67,scattered clouds,-1.195,-46.02,Lidera
257,Sinnamary,GF,79.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
258,Maragogi,BR,75.78,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
264,Kirakira,SB,83.1,overcast clouds,-10.4544,161.9205,SanBiz Lodge
267,Road Town,VG,82.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
269,Januaria,BR,72.36,overcast clouds,-15.4833,-44.3667,Hotel Paraguassu
271,Sao Filipe,CV,79.65,clear sky,14.8961,-24.4956,Hotel Xaguate
272,Seguela,CI,70.65,broken clouds,7.9611,-6.6731,Hotel le Carrefour
273,Llanes,ES,72.27,broken clouds,43.4198,-4.7549,Hotel La Paz
274,Sandakan,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
275,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
277,Inirida,CO,72.82,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
278,Acajutla,SV,78.42,overcast clouds,13.5928,-89.8275,asi es
283,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
285,Byron Bay,AU,78.91,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
286,Karachi,PK,76.82,smoke,24.9056,67.0822,Sadaat
290,Mansa,IN,82.18,clear sky,29.9833,75.3833,STARiHOTEL Mansa
292,Laibin,CN,81.09,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
294,Port Blair,IN,84.24,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
295,Luganville,VU,80.87,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
304,Pontianak,ID,82.38,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
305,Narayanpet,IN,80.89,broken clouds,16.7333,77.5,Hasaan qureshi
308,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
310,Mana,GF,78.13,broken clouds,5.6592,-53.7767,LE SAMANA
313,Basak,PH,81.61,overcast clouds,6.7274,124.1512,Annie Vallite Alabastro Swimming Pool
314,Koumac,NC,76.01,light rain,-20.5667,164.2833,Le Monitel
317,Alta Floresta,BR,70.99,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
318,Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
320,Bitung,ID,94.05,broken clouds,1.4451,125.1824,K2 Lembeh
321,Kavaratti,IN,82.15,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
324,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
326,Hambantota,LK,84.54,clear sky,6.1241,81.1185,Bungalow 63
