City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
114,Nizhniy Kuranakh,RU,58.8353,125.4869,33.19,92,100,11.74,light snow
115,Airai,TL,-8.9266,125.4092,81.52,36,61,4.63,broken clouds
116,Najran,SA,17.4924,44.1277,63.25,27,96,1.81,overcast clouds
117,Popondetta,PG,-8.7537,148.2534,87.33,61,43,6.6,scattered clouds
118,Mataura,NZ,-46.1927,168.8643,58.59,40,9,5.37,clear sky
119,Rupert,US,42.6191,-113.6772,51.24,71,1,5.75,clear sky
120,Vaasa,FI,63.096,21.6158,37.42,93,90,16.11,moderate rain
121,Cidreira,BR,-30.1811,-50.2056,60.89,72,3,11.18,clear sky
122,Tiksi,RU,71.6872,128.8694,17.56,94,100,7.29,light snow
123,Pishin,PK,30.5803,66.9961,68.9,13,0,1.32,clear sky
124,Moose Factory,CA,51.2585,-80.6094,46.4,87,90,16.11,overcast clouds
125,Anchorage,US,61.2181,-149.9003,43.68,89,90,0.0,light rain
126,Busselton,AU,-33.65,115.3333,61.05,88,100,22.86,overcast clouds
127,Salalah,OM,17.0151,54.0924,73.49,88,0,0.0,clear sky
128,Tuy Hoa,VN,13.0833,109.3,83.05,81,69,7.81,broken clouds
129,Elizabeth City,US,36.2946,-76.2511,62.62,81,1,6.91,clear sky
130,Talnakh,RU,69.4865,88.3972,31.23,97,100,12.71,snow
131,Codajas,BR,-3.8367,-62.0569,77.07,79,42,1.39,scattered clouds
132,Biak,ID,-0.9131,122.8766,85.12,63,44,4.23,scattered clouds
133,Codrington,AU,-38.2667,141.9667,69.17,53,100,13.67,overcast clouds
134,Guerrero Negro,MX,27.9769,-114.0611,64.22,70,88,12.35,overcast clouds
135,Abilene,US,32.4487,-99.7331,74.5,69,1,13.8,clear sky
136,Kahului,US,20.8947,-156.47,80.62,73,20,16.11,few clouds
137,Viransehir,TR,37.2353,39.7631,61.03,38,3,4.79,clear sky
138,Tabou,CI,4.423,-7.3528,76.5,89,90,5.1,light rain
139,Aklavik,CA,68.2191,-135.0107,21.92,81,99,7.31,overcast clouds
140,Ferme-Neuve,CA,46.7001,-75.4493,44.46,87,68,2.71,broken clouds
141,Mount Gambier,AU,-37.8333,140.7667,69.71,46,100,21.85,overcast clouds
142,Na Wa,TH,17.4897,104.1006,84.36,70,94,4.59,overcast clouds
143,San Patricio,US,28.017,-97.5169,78.82,72,96,9.91,overcast clouds
144,Poum,NC,-20.2333,164.0167,76.39,79,100,11.16,light rain
145,Barrow,US,71.2906,-156.7887,23.02,80,75,27.63,broken clouds
146,Rio De Jesus,PA,7.9844,-81.1631,73.2,96,100,4.0,overcast clouds
147,Biscarrosse,FR,44.3945,-1.1672,67.75,94,0,3.44,clear sky
148,Lebu,CL,-37.6167,-73.65,51.06,97,12,8.37,few clouds
149,Maniitsoq,GL,65.4167,-52.9,34.99,49,33,9.31,scattered clouds
150,Brownsville,US,25.9018,-97.4975,79.92,80,20,1.99,few clouds
151,Tuatapere,NZ,-46.1333,167.6833,52.7,58,2,8.37,clear sky
152,Dikson,RU,73.5069,80.5464,23.59,71,94,7.45,overcast clouds
153,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.48,90,100,16.08,light rain
154,Naze,JP,28.3667,129.4833,74.32,53,79,12.26,broken clouds
155,Bethel,US,41.3712,-73.414,62.69,57,1,13.8,clear sky
156,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,0,9.22,clear sky
157,Montecorvino Rovella,IT,40.6918,14.978,56.62,84,25,1.61,scattered clouds
158,Cabo San Lucas,MX,22.8909,-109.9124,79.61,77,49,9.06,scattered clouds
159,Longyearbyen,SJ,78.2186,15.6401,12.04,73,20,11.5,few clouds
160,Coihaique,CL,-45.5752,-72.0662,49.95,87,0,2.3,clear sky
161,Alpena,US,45.0617,-83.4327,57.11,80,1,1.01,clear sky
162,Mount Pleasant,US,32.7941,-79.8626,61.0,93,1,0.0,clear sky
163,Coquimbo,CL,-29.9533,-71.3436,56.93,82,90,4.61,overcast clouds
164,Abnub,EG,27.2696,31.1511,66.42,62,11,11.52,few clouds
165,Melfi,IT,40.9965,15.6514,47.41,82,16,5.61,few clouds
166,Nyurba,RU,63.2842,118.3319,36.7,83,100,11.23,overcast clouds
167,Phalodi,IN,27.1333,72.3667,84.87,24,0,12.17,clear sky
168,Maceio,BR,-9.6658,-35.7353,76.44,94,20,4.61,few clouds
169,Ust-Koksa,RU,50.2696,85.6108,40.87,48,7,1.59,clear sky
170,Kedrovyy,RU,56.1667,91.8167,36.01,53,16,3.13,few clouds
171,Cabo Rojo,PR,18.0866,-67.1457,79.92,95,12,1.01,few clouds
172,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.2,93,90,6.91,overcast clouds
173,Shache,CN,38.4167,77.2406,59.99,16,59,1.48,broken clouds
174,Lydenburg,ZA,-25.0978,30.4597,47.39,79,1,1.03,clear sky
175,Shepsi,RU,44.0361,39.1489,48.13,67,1,7.92,clear sky
176,Solnechnyy,RU,50.7214,136.6319,33.76,49,5,4.09,clear sky
177,Barabai,ID,-2.5833,115.3833,85.28,72,100,0.56,overcast clouds
178,Fougeres,FR,48.35,-1.2,60.66,94,100,15.08,light rain
179,Kitui,KE,-1.367,38.0106,64.2,83,100,5.88,overcast clouds
180,Kruisfontein,ZA,-34.0033,24.7314,47.88,82,0,4.56,clear sky
181,Pavilosta,LV,56.8879,21.1859,51.71,96,100,23.06,light rain
182,Kununurra,AU,-15.7667,128.7333,105.78,18,16,11.5,few clouds
183,Ostrovnoy,RU,68.0531,39.5131,29.86,81,65,16.35,broken clouds
184,Khatanga,RU,71.9667,102.5,19.06,93,100,13.71,overcast clouds
185,Kon Tum,VN,14.35,108.0,87.13,59,24,2.42,few clouds
186,Harper,LR,4.375,-7.7169,76.84,88,77,5.82,light rain
187,Mareeba,AU,-17.0,145.4333,98.31,44,98,5.12,overcast clouds
