City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Chicama,PE,2021-10-12 23:32:23,-7.8447,-79.1469,59.54,82,49,9.13
115,Powell River,CA,2021-10-12 23:32:23,49.8496,-124.5361,48.2,93,90,11.5
116,Shingu,JP,2021-10-12 23:32:24,33.7333,135.9833,76.19,81,100,5.41
117,Champerico,GT,2021-10-12 23:32:25,14.3,-91.9167,88.34,79,49,4.65
118,Port Moresby,PG,2021-10-12 23:32:25,-9.4431,147.1797,83.62,74,20,4.61
119,Marsh Harbour,BS,2021-10-12 23:32:26,26.5412,-77.0636,81.54,70,55,9.31
120,Hobyo,SO,2021-10-12 23:30:01,5.3505,48.5268,77.43,82,100,22.24
121,Catuday,PH,2021-10-12 23:32:27,16.2923,119.8062,78.06,87,100,15.61
122,Port Elizabeth,ZA,2021-10-12 23:30:49,-33.918,25.5701,59.29,94,75,4.61
123,Imphal,IN,2021-10-12 23:32:27,24.8167,93.95,68.45,95,14,2.53
124,Oga,IT,2021-10-12 23:32:28,46.4631,10.347,38.08,92,66,5.57
125,Riberalta,BO,2021-10-12 23:30:42,-10.9833,-66.1,89.8,62,36,5.75
126,Saint George,US,2021-10-12 23:32:29,37.1041,-113.5841,56.62,48,90,4.0
127,Hualmay,PE,2021-10-12 23:28:29,-11.0964,-77.6139,63.64,83,49,13.94
128,San Patricio,US,2021-10-12 23:32:30,28.017,-97.5169,87.89,78,32,17.87
129,Nizhnevartovsk,RU,2021-10-12 23:32:31,60.9344,76.5531,32.02,74,90,6.71
130,Souillac,MU,2021-10-12 23:32:32,-20.5167,57.5167,72.36,94,20,2.3
131,Port Alfred,ZA,2021-10-12 23:32:32,-33.5906,26.891,61.57,86,81,2.26
132,Saint-Philippe,RE,2021-10-12 23:32:33,-21.3585,55.7679,72.99,89,65,4.52
133,Saskylakh,RU,2021-10-12 23:32:33,71.9167,114.0833,6.06,98,98,4.99
134,Constitucion,CL,2021-10-12 23:32:34,-35.3333,-72.4167,51.35,87,9,1.45
135,Burns Lake,CA,2021-10-12 23:32:34,54.2331,-125.7533,45.82,56,84,8.95
136,Kloulklubed,PW,2021-10-12 23:32:35,7.0419,134.2556,77.5,73,92,11.65
137,Khatanga,RU,2021-10-12 23:32:36,71.9667,102.5,11.01,96,100,7.14
138,Klyuchi,RU,2021-10-12 23:32:36,52.2667,79.1667,36.03,77,96,9.64
139,Talnakh,RU,2021-10-12 23:32:37,69.4865,88.3972,17.17,96,99,5.12
140,Teya,RU,2021-10-12 23:32:37,60.3778,92.6267,24.73,78,99,1.63
141,Freeport,US,2021-10-12 23:31:10,40.6576,-73.5832,67.98,76,1,1.01
142,Bengkulu,ID,2021-10-12 23:32:38,-3.8004,102.2655,75.69,90,99,2.71
143,Pekan,MY,2021-10-12 23:32:38,3.4836,103.3996,78.91,76,99,5.03
144,Dafeng,CN,2021-10-12 23:32:39,23.4517,108.5881,67.78,68,63,13.06
145,Kaitangata,NZ,2021-10-12 23:32:39,-46.2817,169.8464,46.74,66,100,11.97
146,Bagli,IN,2021-10-12 23:32:40,22.65,76.35,71.01,63,2,3.47
147,Terra Nova,BR,2021-10-12 23:29:29,-12.3667,-40.6667,69.58,89,63,5.5
148,Ribeira Grande,PT,2021-10-12 23:32:40,38.5167,-28.7,69.91,69,87,7.11
149,Alexandria,EG,2021-10-12 23:32:41,31.2156,29.9553,75.92,68,36,8.41
150,Genhe,CN,2021-10-12 23:31:05,50.7833,121.5167,41.34,66,100,2.95
151,Kapaa,US,2021-10-12 23:32:42,22.0752,-159.319,84.18,78,75,5.01
152,Tessalit,ML,2021-10-12 23:32:43,20.1986,1.0114,83.14,12,46,9.26
153,Esperance,AU,2021-10-12 23:32:43,-33.8667,121.9,57.04,67,78,22.68
154,Tondano,ID,2021-10-12 23:32:44,1.3038,124.9112,71.69,67,100,2.21
155,Saldanha,ZA,2021-10-12 23:32:44,-33.0117,17.9442,59.05,96,100,7.99
156,Umkomaas,ZA,2021-10-12 23:32:45,-30.2067,30.7978,67.6,81,89,3.69
157,Lompoc,US,2021-10-12 23:32:45,34.6391,-120.4579,73.69,53,1,20.71
158,Esmeraldas,BR,2021-10-12 23:32:46,-19.7625,-44.3139,68.86,88,33,10.85
159,Carnarvon,AU,2021-10-12 23:32:47,-24.8667,113.6333,60.87,55,0,16.11
160,Dunedin,NZ,2021-10-12 23:32:28,-45.8742,170.5036,47.8,70,100,15.01
161,Paamiut,GL,2021-10-12 23:32:47,61.994,-49.6678,37.31,86,90,9.13
162,Atbasar,KZ,2021-10-12 23:32:48,51.8,68.3333,43.38,68,99,9.13
163,Russell,US,2021-10-12 23:32:48,32.3502,-85.1999,78.4,87,1,0.0
164,Shakawe,BW,2021-10-12 23:32:49,-18.3667,21.85,64.35,34,0,4.56
165,Victoria,HK,2021-10-12 23:29:55,22.2855,114.1577,79.32,94,100,4.0
166,Palmer,US,2021-10-12 23:32:50,42.1584,-72.3287,64.31,82,20,0.0
167,Mahebourg,MU,2021-10-12 23:32:50,-20.4081,57.7,72.25,94,20,2.3
168,Airai,TL,2021-10-12 23:32:51,-8.9266,125.4092,74.03,49,91,2.71
169,Cap Malheureux,MU,2021-10-12 23:28:57,-19.9842,57.6142,72.46,87,4,5.01
170,Zabaykalsk,RU,2021-10-12 23:32:52,49.6333,117.3167,43.32,57,100,6.46
171,Karagaylinskiy,RU,2021-10-12 23:32:52,54.172,86.5521,27.54,87,100,3.96
172,Aanekoski,FI,2021-10-12 23:32:53,62.6946,25.818,40.68,89,68,0.94
173,Madera,US,2021-10-12 23:28:41,37.1666,-119.8343,69.37,14,0,3.24
174,Gengenbach,DE,2021-10-12 23:32:53,48.4,8.0167,51.69,86,93,2.48
175,Tiksi,RU,2021-10-12 23:32:54,71.6872,128.8694,18.48,92,91,10.67
